customer_id,recency_days,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_total,segment
12636.0,738.0,1,141.0,1,1,1,3,Lost
17592.0,738.0,1,148.3,1,1,1,3,Lost
17087.0,737.0,1,221.53,1,1,1,3,Lost
15833.0,737.0,1,80.4,1,1,1,3,Lost
13526.0,737.0,2,1182.0000000000005,1,2,3,6,At Risk
14654.0,737.0,1,246.85999999999999,1,1,1,3,Lost
17056.0,737.0,1,128.60000000000002,1,1,1,3,Lost
17818.0,737.0,1,124.78000000000002,1,1,1,3,Lost
14106.0,736.0,1,214.79999999999998,1,1,1,3,Lost
17909.0,736.0,1,110.05000000000001,1,1,1,3,Lost
14980.0,736.0,1,150.67999999999998,1,1,1,3,Lost
12934.0,736.0,1,181.65,1,1,1,3,Lost
16301.0,736.0,1,107.33,1,1,1,3,Lost
17606.0,736.0,1,87.30000000000001,1,2,1,4,Lost
14347.0,736.0,1,82.60000000000001,1,2,1,4,Lost
16192.0,735.0,1,351.3,1,1,2,4,Lost
15999.0,735.0,1,20.4,1,1,1,3,Lost
16645.0,735.0,1,160.39,1,1,1,3,Lost
14750.0,735.0,1,112.03000000000002,1,1,1,3,Lost
17271.0,735.0,1,204.29999999999995,1,1,1,3,Lost
15794.0,735.0,2,777.0000000000001,1,2,2,5,Lost
14979.0,734.0,1,429.66,1,1,2,4,Lost
16541.0,734.0,1,424.03,1,1,2,4,Lost
17151.0,734.0,1,231.9,1,1,1,3,Lost
14468.0,733.0,1,204.23999999999998,1,1,1,3,Lost
16410.0,733.0,1,130.32000000000002,1,1,1,3,Lost
16277.0,733.0,1,188.69,1,1,1,3,Lost
14717.0,732.0,1,81.30000000000001,1,2,1,4,Lost
14003.0,732.0,1,209.41,1,1,1,3,Lost
15479.0,732.0,1,147.39999999999998,1,1,1,3,Lost
13905.0,732.0,1,312.6500000000001,1,1,1,3,Lost
14955.0,732.0,1,163.77000000000004,1,1,1,3,Lost
14574.0,732.0,1,143.7,1,1,1,3,Lost
16964.0,732.0,2,207.85,1,2,1,4,Lost
14123.0,732.0,1,436.1799999999999,1,1,2,4,Lost
18162.0,731.0,1,371.50999999999993,1,1,2,4,Lost
12443.0,731.0,1,485.31,1,1,2,4,Lost
13025.0,731.0,1,323.3900000000001,1,1,1,3,Lost
17441.0,731.0,1,293.35,1,1,1,3,Lost
15924.0,730.0,1,102.82,1,2,1,4,Lost
17178.0,730.0,1,432.95999999999987,1,1,2,4,Lost
15162.0,730.0,1,312.9,1,1,1,3,Lost
13204.0,730.0,1,966.6600000000002,1,2,3,6,At Risk
13114.0,730.0,1,234.38,1,1,1,3,Lost
12487.0,730.0,1,285.29999999999995,1,1,1,3,Lost
16459.0,729.0,1,71.79,1,1,1,3,Lost
15642.0,729.0,1,105.78000000000003,1,1,1,3,Lost
17296.0,729.0,1,338.13,1,1,1,3,Lost
13498.0,729.0,1,327.38,1,1,1,3,Lost
15302.0,729.0,1,308.00000000000006,1,1,1,3,Lost
15085.0,729.0,1,347.53999999999996,1,1,2,4,Lost
15209.0,729.0,1,178.98,1,1,1,3,Lost
16901.0,728.0,1,204.26000000000002,1,1,1,3,Lost
16663.0,728.0,1,165.0,1,1,1,3,Lost
12979.0,728.0,1,517.6999999999999,1,1,2,4,Lost
17487.0,727.0,1,160.55,1,1,1,3,Lost
13768.0,726.0,2,875.97,1,2,3,6,At Risk
17910.0,725.0,1,261.69999999999993,1,1,1,3,Lost
14977.0,725.0,1,31.929999999999996,1,1,1,3,Lost
13087.0,725.0,1,313.64000000000004,1,1,1,3,Lost
17066.0,725.0,1,228.34,1,1,1,3,Lost
15534.0,725.0,1,162.25,1,1,1,3,Lost
17318.0,724.0,1,157.32999999999998,1,1,1,3,Lost
12992.0,724.0,1,93.35000000000001,1,2,1,4,Lost
15672.0,724.0,1,45.300000000000004,1,1,1,3,Lost
17067.0,724.0,3,454.5400000000001,1,2,2,5,Lost
17012.0,724.0,1,360.6099999999999,1,1,2,4,Lost
16064.0,724.0,1,109.31000000000003,1,1,1,3,Lost
15188.0,724.0,1,310.43,1,1,1,3,Lost
14042.0,724.0,1,431.97999999999996,1,1,2,4,Lost
16280.0,724.0,1,238.05,1,1,1,3,Lost
15499.0,723.0,1,158.64999999999995,1,1,1,3,Lost
13289.0,723.0,1,307.95,1,1,1,3,Lost
12941.0,723.0,1,377.4900000000002,1,1,2,4,Lost
16605.0,723.0,1,60.48,1,1,1,3,Lost
17833.0,722.0,1,338.46000000000004,1,1,1,3,Lost
16195.0,722.0,1,323.25,1,1,1,3,Lost
16694.0,722.0,1,98.30000000000001,1,2,1,4,Lost
18186.0,722.0,1,329.58,1,1,1,3,Lost
18201.0,722.0,1,447.53000000000003,1,1,2,4,Lost
14095.0,722.0,1,2.95,1,2,1,4,Lost
18012.0,722.0,1,115.3,1,1,1,3,Lost
16439.0,721.0,1,310.70000000000005,1,1,1,3,Lost
17927.0,721.0,1,294.0,1,1,1,3,Lost
17103.0,721.0,1,424.29999999999995,1,1,2,4,Lost
16908.0,721.0,1,252.58999999999997,1,1,1,3,Lost
15409.0,720.0,1,131.25,1,1,1,3,Lost
13847.0,719.0,1,310.71999999999997,1,1,1,3,Lost
13111.0,718.0,1,321.88000000000005,1,1,1,3,Lost
14969.0,703.0,1,906.2300000000001,1,2,3,6,At Risk
15324.0,700.0,1,140.22000000000003,1,1,1,3,Lost
18115.0,697.0,1,9.7,1,1,1,3,Lost
17945.0,696.0,3,360.3499999999999,1,3,2,6,At Risk
13622.0,695.0,1,658.95,1,1,2,4,Lost
17352.0,695.0,1,36.25,1,1,1,3,Lost
14137.0,695.0,1,332.7,1,1,1,3,Lost
